PositionX,PositionY,PositionZ
1.448212,1.108304,0.7861862
1.450489,1.109019,0.8023834
1.444983,1.113334,0.819912
1.438118,1.121773,0.8327103
1.431091,1.128522,0.8408585
1.426954,1.134634,0.8515511
1.41976,1.135518,0.8592949
1.412703,1.13614,0.8635101
1.404331,1.137475,0.8716125
1.399025,1.141332,0.8776054
1.395031,1.144066,0.882679
1.390902,1.14224,0.890892
1.389204,1.143428,0.8967018
1.385599,1.142391,0.902874
1.373463,1.145932,0.9200134
1.361359,1.142265,0.9316826
1.359001,1.157006,0.9374771
1.353401,1.158997,0.9470444
1.342546,1.159106,0.959362
1.334646,1.164519,0.969017
1.322634,1.164533,0.9783249
1.313244,1.163367,0.9858284
1.305275,1.161012,0.9904594
1.2953,1.154183,0.9950714
1.283489,1.146229,1.004333
1.274984,1.141898,1.01321
1.264866,1.140598,1.026531
1.256372,1.139606,1.03788
1.246407,1.137779,1.052925
1.237587,1.137773,1.064964
1.229389,1.134416,1.080036
1.221371,1.135443,1.094036
1.213392,1.133317,1.10783
1.204279,1.13144,1.120159
1.19408,1.128074,1.131355
1.185555,1.124843,1.141449
1.178566,1.121936,1.153389
1.170326,1.119292,1.166035
1.162046,1.117035,1.180336
1.155155,1.118208,1.190384
1.14748,1.117909,1.204693
1.139036,1.123287,1.215405
1.13345,1.127682,1.221027
1.125679,1.126782,1.229328
1.117378,1.128814,1.239319
1.11047,1.132463,1.245121
1.104624,1.138285,1.250164
1.099953,1.144043,1.25449
1.095078,1.149665,1.257828
1.08993,1.154729,1.259933
1.084082,1.159524,1.261951
1.077549,1.165432,1.264385
1.070431,1.172653,1.266769
1.068804,1.185118,1.260078
1.061625,1.194014,1.261364
1.061039,1.157443,1.249493
1.057354,1.154003,1.251583
1.053141,1.158149,1.254517
1.047213,1.161508,1.258064
1.041473,1.164191,1.263798
1.036238,1.169785,1.262318
1.02891,1.165311,1.264683
1.020319,1.165152,1.270088
1.012453,1.168545,1.274536
1.005232,1.171019,1.282982
0.9993839,1.177663,1.290665
0.9939308,1.181591,1.297649
0.9880791,1.18346,1.304436
0.9832134,1.184471,1.313503
0.9768429,1.185517,1.323605
0.9713039,1.188998,1.331558
0.9642639,1.188081,1.33902
0.9566364,1.188938,1.347927
0.9511776,1.188417,1.353455
0.9426994,1.183514,1.358616
0.9285831,1.183213,1.364155
0.9189301,1.178455,1.369904
0.910984,1.175324,1.374203
0.9035625,1.173491,1.381557
0.8974705,1.175031,1.387482
0.8935909,1.177135,1.394249
0.8901138,1.179924,1.397518
0.8846798,1.180182,1.401432
0.8795414,1.180665,1.406654
0.8729076,1.183071,1.41309
0.8669605,1.187097,1.417068
0.8604507,1.188903,1.419537
0.8534336,1.185405,1.42424
0.8469162,1.189181,1.426277
0.8409443,1.189081,1.430161
0.8313599,1.188117,1.440235
0.8248692,1.195691,1.442715
0.8181667,1.196618,1.446472
0.8073463,1.195704,1.456234
0.7990494,1.199314,1.460339
0.791193,1.202802,1.465054
0.7944794,1.203632,1.465569
0.7915154,1.205513,1.466808
0.7872677,1.20284,1.467876
0.7812138,1.201728,1.469528
0.7711086,1.202481,1.472191
0.7591114,1.206522,1.475258
0.748209,1.210424,1.476345
0.7392368,1.211573,1.480347
0.7329292,1.213858,1.483784
0.729454,1.213161,1.486683
0.7265053,1.210158,1.491062
0.7212257,1.208956,1.495785
0.7130508,1.2078,1.499226
0.7058582,1.208444,1.500523
0.6981812,1.208449,1.504097
0.6908073,1.210287,1.508209
0.685524,1.212893,1.510914
0.6818123,1.213394,1.51162
0.6765079,1.211373,1.512077
0.6697483,1.210076,1.513714
0.6630116,1.210294,1.516171
0.6570072,1.212287,1.51902
0.6520863,1.216176,1.522793
0.6460361,1.217663,1.527004
0.6409206,1.219846,1.530304
0.6361027,1.218983,1.531857
0.6274452,1.215586,1.535549
0.6194763,1.215954,1.538895
0.6115932,1.215895,1.542847
0.602623,1.214013,1.548874
0.5956421,1.214536,1.55188
0.5913258,1.211525,1.553875
0.5864162,1.202622,1.557281
0.580986,1.198936,1.558208
0.5742474,1.193374,1.562431
0.5650997,1.190063,1.567013
0.5566254,1.18998,1.569359
0.5494442,1.187984,1.569611
0.5416851,1.185373,1.572655
0.5369415,1.184645,1.575279
0.5313587,1.181005,1.579281
0.5240784,1.177836,1.5839
0.5149384,1.174689,1.586884
0.5060749,1.173243,1.590607
0.4994659,1.171377,1.592461
0.4939556,1.169637,1.593513
0.4859104,1.165666,1.595966
0.4760551,1.165052,1.59948
0.4636974,1.164057,1.602959
0.4496555,1.163145,1.605423
0.4381657,1.161176,1.606274
0.4286976,1.15801,1.608616
0.4219646,1.15398,1.612427
0.4135551,1.151507,1.616314
0.4046173,1.152759,1.619789
0.3917046,1.152103,1.626438
0.3771229,1.160435,1.627941
0.3676395,1.164829,1.624744
0.3539734,1.165087,1.625237
0.3441544,1.170643,1.625965
0.3352737,1.175594,1.626659
0.3402424,1.168362,1.625488
0.3372421,1.165635,1.626419
0.3316631,1.162377,1.622883
0.3236217,1.162461,1.620319
0.3169613,1.165568,1.616741
0.307457,1.167023,1.617222
0.2994156,1.174275,1.616489
