PositionX,PositionY,PositionZ
0.4978638,1.308905,1.636871
0.5056152,1.306841,1.642155
0.5167255,1.305931,1.648254
0.5270042,1.30686,1.653488
0.5380116,1.30843,1.658749
0.5488758,1.310226,1.663006
0.5598488,1.311586,1.666344
0.5706158,1.313003,1.66967
0.592308,1.314813,1.676628
0.6036549,1.315206,1.681358
0.6141872,1.314369,1.685898
0.6236935,1.314275,1.689247
0.6349354,1.313996,1.692776
0.64221,1.313354,1.694771
0.6508808,1.313272,1.697208
0.6602077,1.312075,1.699715
0.6704159,1.31162,1.702427
0.6807919,1.31139,1.703869
0.6930847,1.309855,1.705734
0.7028713,1.31014,1.705948
0.7134113,1.309533,1.706093
0.7245522,1.309625,1.705547
0.7348442,1.309234,1.705116
0.7453957,1.308722,1.704185
0.7553082,1.308754,1.703545
0.7648582,1.309168,1.702686
0.7749462,1.309694,1.7029
0.78442,1.311264,1.703083
0.7936974,1.312503,1.7034
0.8026104,1.314102,1.703133
0.8132286,1.315866,1.702835
0.822506,1.318309,1.701477
0.8322392,1.319323,1.700352
0.8422127,1.321461,1.698879
0.8506546,1.322122,1.697105
0.861084,1.3229,1.695503
0.8696499,1.323751,1.693371
0.8861656,1.324874,1.690163
0.8942757,1.325672,1.688858
0.9020653,1.326232,1.68737
0.9104614,1.327121,1.685665
0.9183769,1.328013,1.68364
0.9261112,1.328478,1.681725
0.9334278,1.329481,1.680088
0.9417801,1.329996,1.678165
0.9493446,1.33105,1.676754
0.9573689,1.331606,1.675014
0.9663334,1.33241,1.673721
0.9759541,1.333515,1.672455
0.9844322,1.33512,1.670994
0.9934425,1.335815,1.668667
1.002289,1.336327,1.66658
1.010633,1.336995,1.664688
1.019554,1.336794,1.662643
1.029482,1.336933,1.659901
1.037741,1.335546,1.657661
1.046389,1.333142,1.655365
1.055046,1.330132,1.653316
1.063635,1.327254,1.651176
1.073143,1.323962,1.648918
1.082411,1.321824,1.646915
1.091534,1.319662,1.644981
1.101053,1.317704,1.642712
1.110012,1.316078,1.64043
1.11912,1.314476,1.637638
1.12838,1.313283,1.634907
1.138569,1.312223,1.632168
1.148136,1.311307,1.629448
1.158075,1.310254,1.626591
1.168295,1.309036,1.623531
1.178179,1.307433,1.620445
1.188803,1.305335,1.61647
1.198997,1.303542,1.612885
1.209774,1.301544,1.608868
1.221048,1.300113,1.604855
1.231819,1.299004,1.601028
1.243114,1.297443,1.597496
1.254642,1.297943,1.594166
1.265612,1.297924,1.591019
1.277811,1.299036,1.58783
1.28933,1.300165,1.584358
1.301065,1.300367,1.580948
1.31168,1.300083,1.578087
1.32266,1.299314,1.574673
1.331993,1.298268,1.570831
1.340057,1.298109,1.566936
1.350544,1.297531,1.562836
1.359982,1.298111,1.559055
1.370352,1.299177,1.55547
1.380461,1.300875,1.551502
1.38961,1.301849,1.547405
1.398268,1.302852,1.543343
